NUMBER_OF_SALES,NUMBER_OF_UNIQUE_PRODUCTS,NUMBER_OF_STORES,TRANSACTION_DATE,DAY_OF_MONTH,MONTH_NAME,DAY_OF_WEEK,MONTH_ID,TIME_BUCKETS,REVENUE,DAY_CATEGORY
156,52,3,2023-01-01,1,Jan,0,202301,Morning,716.90,Weekday
256,50,3,2023-01-01,1,Jan,0,202301,Afternoon,1141.05,Weekday
138,50,3,2023-01-01,1,Jan,0,202301,Evening,650.25,Weekday
154,50,3,2023-01-02,2,Jan,1,202301,Morning,633.90,Weekday
131,50,3,2023-01-02,2,Jan,1,202301,Evening,582.25,Weekday
161,48,3,2023-01-03,3,Jan,2,202301,Morning,731.95,Weekday
287,52,3,2023-01-03,3,Jan,2,202301,Afternoon,1276.90,Weekday
134,48,3,2023-01-03,3,Jan,2,202301,Evening,556.15,Weekday
120,45,3,2023-01-04,4,Jan,3,202301,Morning,538.00,Weekday
241,51,3,2023-01-04,4,Jan,3,202301,Afternoon,1108.00,Weekday
136,49,3,2023-01-04,4,Jan,3,202301,Evening,574.10,Weekday
156,50,3,2023-01-05,5,Jan,4,202301,Morning,656.25,Weekday
278,51,3,2023-01-05,5,Jan,4,202301,Afternoon,1245.50,Weekday
155,50,3,2023-01-06,6,Jan,5,202301,Morning,668.70,Weekday
245,51,3,2023-01-06,6,Jan,5,202301,Afternoon,1102.75,Weekday
109,45,3,2023-01-06,6,Jan,5,202301,Evening,502.40,Weekday
110,47,3,2023-01-07,7,Jan,6,202301,Afternoon,476.40,Weekday
77,39,2,2023-01-07,7,Jan,6,202301,Evening,334.40,Weekday
12,9,1,2023-01-07,7,Jan,6,202301,Night,51.65,Weekday
281,52,3,2023-01-02,2,Jan,1,202301,Afternoon,1187.20,Weekday
324,66,3,2023-01-08,8,Jan,0,202301,Morning,1541.45,Weekday
147,50,3,2023-01-08,8,Jan,0,202301,Afternoon,641.73,Weekday
81,49,3,2023-01-08,8,Jan,0,202301,Evening,415.95,Weekday
383,68,3,2023-01-09,9,Jan,1,202301,Morning,1887.64,Weekday
106,47,3,2023-01-09,9,Jan,1,202301,Afternoon,506.07,Weekday
60,39,3,2023-01-09,9,Jan,1,202301,Evening,276.90,Weekday
2,2,1,2023-01-09,9,Jan,1,202301,Night,6.00,Weekday
423,67,3,2023-01-10,10,Jan,2,202301,Morning,1873.35,Weekday
130,55,3,2023-01-10,10,Jan,2,202301,Afternoon,589.55,Weekday
49,33,3,2023-01-10,10,Jan,2,202301,Evening,222.75,Weekday
124,53,3,2023-01-12,12,Jan,4,202301,Afternoon,534.95,Weekday
417,67,3,2023-01-13,13,Jan,5,202301,Morning,1931.80,Weekday
7,7,1,2023-01-13,13,Jan,5,202301,Night,33.10,Weekday
391,72,3,2023-01-14,14,Jan,6,202301,Morning,1811.18,Weekday
72,42,3,2023-01-14,14,Jan,6,202301,Evening,302.55,Weekday
433,73,3,2023-01-15,15,Jan,0,202301,Morning,2037.93,Weekday
74,46,3,2023-01-11,11,Jan,3,202301,Evening,330.40,Weekday
9,9,1,2023-01-14,14,Jan,6,202301,Night,51.53,Weekday
82,41,3,2023-01-15,15,Jan,0,202301,Evening,471.30,Weekday
45,30,3,2023-01-17,17,Jan,2,202301,Evening,250.20,Weekday
406,69,3,2023-01-18,18,Jan,3,202301,Morning,1923.33,Weekday
133,55,3,2023-01-19,19,Jan,4,202301,Afternoon,605.50,Weekday
67,44,3,2023-01-19,19,Jan,4,202301,Evening,322.80,Weekday
63,40,3,2023-01-21,21,Jan,6,202301,Evening,337.15,Weekday
10,10,1,2023-01-20,20,Jan,5,202301,Night,61.15,Weekday
147,51,3,2023-01-22,22,Jan,0,202301,Afternoon,684.00,Weekday
191,54,3,2023-01-24,24,Jan,2,202301,Afternoon,861.20,Weekday
164,53,3,2023-01-26,26,Jan,4,202301,Afternoon,732.80,Weekday
94,49,3,2023-01-26,26,Jan,4,202301,Evening,462.43,Weekday
324,64,3,2023-01-27,27,Jan,5,202301,Morning,1534.45,Weekday
207,51,3,2023-01-29,29,Jan,0,202301,Afternoon,908.00,Weekday
283,64,3,2023-01-30,30,Jan,1,202301,Morning,1446.38,Weekday
183,50,3,2023-01-28,28,Jan,6,202301,Morning,779.35,Weekday
139,46,3,2023-02-01,1,Feb,3,202302,Morning,624.50,Weekday
275,52,3,2023-02-01,1,Feb,3,202302,Afternoon,1221.75,Weekday
154,47,3,2023-02-03,3,Feb,5,202302,Morning,672.60,Weekday
136,51,3,2023-02-03,3,Feb,5,202302,Evening,587.05,Weekday
86,45,2,2023-02-07,7,Feb,2,202302,Evening,378.35,Weekday
45,31,3,2023-02-18,18,Feb,6,202302,Evening,236.60,Weekday
184,58,3,2023-02-22,22,Feb,3,202302,Afternoon,897.80,Weekday
320,63,3,2023-02-23,23,Feb,4,202302,Morning,1662.86,Weekday
295,52,3,2023-03-01,1,Mar,3,202303,Afternoon,1328.35,Weekday
476,72,3,2023-03-09,9,Mar,4,202303,Morning,2307.89,Weekday
466,69,3,2023-03-13,13,Mar,1,202303,Morning,2243.20,Weekday
113,45,3,2023-01-05,5,Jan,4,202301,Evening,517.10,Weekday
363,64,3,2023-01-07,7,Jan,6,202301,Morning,1757.20,Weekday
363,64,3,2023-01-11,11,Jan,3,202301,Morning,1655.05,Weekday
124,53,3,2023-01-11,11,Jan,3,202301,Afternoon,570.30,Weekday
336,62,3,2023-01-12,12,Jan,4,202301,Morning,1449.65,Weekday
132,58,3,2023-01-13,13,Jan,5,202301,Afternoon,700.55,Weekday
69,40,3,2023-01-13,13,Jan,5,202301,Evening,368.15,Weekday
105,53,3,2023-01-14,14,Jan,6,202301,Afternoon,517.25,Weekday
148,54,3,2023-01-15,15,Jan,0,202301,Afternoon,658.48,Weekday
423,69,3,2023-01-16,16,Jan,1,202301,Morning,1941.51,Weekday
66,35,3,2023-01-16,16,Jan,1,202301,Evening,300.05,Weekday
381,66,3,2023-01-17,17,Jan,2,202301,Morning,2484.60,Weekday
106,49,3,2023-01-17,17,Jan,2,202301,Afternoon,551.00,Weekday
129,50,3,2023-01-18,18,Jan,3,202301,Afternoon,563.73,Weekday
53,32,3,2023-01-18,18,Jan,3,202301,Evening,248.90,Weekday
416,68,3,2023-01-19,19,Jan,4,202301,Morning,1985.38,Weekday
75,41,3,2023-01-20,20,Jan,5,202301,Evening,339.68,Weekday
400,70,3,2023-01-21,21,Jan,6,202301,Morning,2049.15,Weekday
127,55,3,2023-01-21,21,Jan,6,202301,Afternoon,663.85,Weekday
7,7,1,2023-01-21,21,Jan,6,202301,Night,32.70,Weekday
78,44,3,2023-01-22,22,Jan,0,202301,Evening,360.70,Weekday
170,56,3,2023-01-23,23,Jan,1,202301,Afternoon,798.45,Weekday
102,49,3,2023-01-23,23,Jan,1,202301,Evening,464.75,Weekday
329,67,3,2023-01-24,24,Jan,2,202301,Morning,1653.75,Weekday
68,40,3,2023-01-24,24,Jan,2,202301,Evening,354.00,Weekday
318,64,3,2023-01-25,25,Jan,3,202301,Morning,1606.95,Weekday
189,59,3,2023-01-25,25,Jan,3,202301,Afternoon,868.80,Weekday
76,45,3,2023-01-25,25,Jan,3,202301,Evening,370.80,Weekday
328,66,3,2023-01-26,26,Jan,4,202301,Morning,1667.80,Weekday
156,53,3,2023-01-27,27,Jan,5,202301,Afternoon,763.10,Weekday
96,49,3,2023-01-27,27,Jan,5,202301,Evening,436.20,Weekday
3,3,1,2023-01-27,27,Jan,5,202301,Night,8.35,Weekday
202,50,3,2023-01-28,28,Jan,6,202301,Afternoon,897.40,Weekday
179,51,3,2023-01-29,29,Jan,0,202301,Morning,801.60,Weekday
73,42,3,2023-01-29,29,Jan,0,202301,Evening,351.15,Weekday
134,55,3,2023-01-30,30,Jan,1,202301,Afternoon,721.13,Weekday
61,36,3,2023-01-30,30,Jan,1,202301,Evening,293.90,Weekday
304,68,3,2023-01-31,31,Jan,2,202301,Morning,1562.53,Weekday
106,50,3,2023-01-31,31,Jan,2,202301,Afternoon,534.60,Weekday
3,3,2,2023-01-31,31,Jan,2,202301,Night,13.95,Weekday
132,49,3,2023-02-01,1,Feb,3,202302,Evening,620.05,Weekday
285,52,3,2023-02-02,2,Feb,4,202302,Afternoon,1220.25,Weekday
136,49,3,2023-02-02,2,Feb,4,202302,Evening,611.95,Weekday
174,51,3,2023-02-04,4,Feb,6,202302,Morning,748.25,Weekday
167,48,3,2023-02-05,5,Feb,0,202302,Morning,711.75,Weekday
252,52,3,2023-02-05,5,Feb,0,202302,Afternoon,1092.05,Weekday
114,41,3,2023-02-05,5,Feb,0,202302,Evening,500.90,Weekday
235,52,3,2023-02-06,6,Feb,1,202302,Afternoon,1067.90,Weekday
136,49,3,2023-02-04,4,Feb,6,202302,Evening,561.45,Weekday
14,12,1,2023-02-07,7,Feb,2,202302,Night,64.65,Weekday
329,65,3,2023-02-08,8,Feb,3,202302,Morning,1502.65,Weekday
176,57,3,2023-02-08,8,Feb,3,202302,Afternoon,845.43,Weekday
89,46,3,2023-02-08,8,Feb,3,202302,Evening,394.70,Weekday
385,63,3,2023-02-09,9,Feb,4,202302,Morning,1722.37,Weekday
65,42,3,2023-02-09,9,Feb,4,202302,Evening,296.44,Weekday
5,5,1,2023-02-09,9,Feb,4,202302,Night,13.71,Weekday
434,66,3,2023-02-10,10,Feb,5,202302,Morning,1941.45,Weekday
135,53,3,2023-02-10,10,Feb,5,202302,Afternoon,664.65,Weekday
368,64,3,2023-02-11,11,Feb,6,202302,Morning,1644.78,Weekday
87,45,3,2023-02-12,12,Feb,0,202302,Evening,413.25,Weekday
393,61,3,2023-02-13,13,Feb,1,202302,Morning,1803.58,Weekday
64,48,3,2023-02-11,11,Feb,6,202302,Evening,293.38,Weekday
132,56,3,2023-02-13,13,Feb,1,202302,Afternoon,707.45,Weekday
60,36,3,2023-02-13,13,Feb,1,202302,Evening,296.65,Weekday
426,69,3,2023-02-15,15,Feb,3,202302,Morning,1994.65,Weekday
150,57,3,2023-02-16,16,Feb,4,202302,Afternoon,675.70,Weekday
352,62,3,2023-02-17,17,Feb,5,202302,Morning,1526.80,Weekday
124,51,3,2023-02-17,17,Feb,5,202302,Afternoon,527.05,Weekday
405,71,3,2023-02-18,18,Feb,6,202302,Morning,1957.78,Weekday
144,54,3,2023-02-18,18,Feb,6,202302,Afternoon,671.10,Weekday
458,68,3,2023-02-19,19,Feb,0,202302,Morning,2186.95,Weekday
